"date","cases"
"2020-01-22","444"
"2020-01-23","444"
"2020-01-24","549"
"2020-01-25","761"
"2020-01-26","1058"
"2020-01-27","1423"
"2020-01-28","3554"
"2020-01-29","3554"
"2020-01-30","4903"
"2020-01-31","5806"
"2020-02-01","7153"
"2020-02-02","11177"
"2020-02-03","13522"
"2020-02-04","16678"
"2020-02-05","19665"
"2020-02-06","22112"
"2020-02-07","24953"
"2020-02-08","27100"
"2020-02-09","29631"
"2020-02-10","31728"
"2020-02-11","33366"
"2020-02-12","33366"
"2020-02-13","48206"
"2020-02-14","54406"
"2020-02-15","56249"
"2020-02-16","58182"
"2020-02-17","59989"
"2020-02-18","61682"
"2020-02-19","62031"
"2020-02-20","62442"
"2020-02-21","62662"
"2020-02-22","64084"
"2020-02-23","64084"
"2020-02-24","64287"
"2020-02-25","64786"
"2020-02-26","65187"
"2020-02-27","65596"
"2020-02-28","65914"
"2020-02-29","66337"
"2020-03-01","66907"
"2020-03-02","67103"
"2020-03-03","67217"
"2020-03-04","67332"
"2020-03-05","67466"
"2020-03-06","67592"
"2020-03-07","67666"
"2020-03-08","67707"
"2020-03-09","67743"
"2020-03-10","67760"
"2020-03-11","67773"
"2020-03-12","67781"
"2020-03-13","67786"
"2020-03-14","67790"
"2020-03-15","67794"
"2020-03-16","67798"
"2020-03-17","67799"
"2020-03-18","67800"
"2020-03-19","67800"
"2020-03-20","67800"
"2020-03-21","67800"
"2020-03-22","67800"
"2020-03-23","67800"
"2020-03-24","67801"
"2020-03-25","67801"
"2020-03-26","67801"
"2020-03-27","67801"
"2020-03-28","67801"
"2020-03-29","67801"
"2020-03-30","67801"
"2020-03-31","67801"
"2020-04-01","67802"
"2020-04-02","67802"
"2020-04-03","67802"
"2020-04-04","67803"
"2020-04-05","67803"
"2020-04-06","67803"
"2020-04-07","67803"
"2020-04-08","67803"
"2020-04-09","67803"
"2020-04-10","67803"
"2020-04-11","67803"
"2020-04-12","67803"
"2020-04-13","67803"
"2020-04-14","67803"
"2020-04-15","67803"
"2020-04-16","67803"
"2020-04-17","68128"
"2020-04-18","68128"
"2020-04-19","68128"
"2020-04-20","68128"
"2020-04-21","68128"
"2020-04-22","68128"
"2020-04-23","68128"
"2020-04-24","68128"
"2020-04-25","68128"
"2020-04-26","68128"
"2020-04-27","68128"
"2020-04-28","68128"
"2020-04-29","68128"
"2020-04-30","68128"
