date,cases
2020-01-19,121
2020-01-20,149
2020-01-21,105
2020-01-22,69
2020-01-23,105
2020-01-24,180
2020-01-25,323
2020-01-26,371
2020-01-27,1291
2020-01-28,840
2020-01-29,1032
2020-01-30,1220
2020-01-31,1347
2020-02-01,1921
2020-02-02,2103
2020-02-03,2345
2020-02-04,3156
2020-02-05,2987
2020-02-06,2447
2020-02-07,2841
2020-02-08,2147
2020-02-09,2618
2020-02-10,2097
2020-02-11,1638
2020-02-12,14840
2020-02-13,4823
2020-02-14,2420
2020-02-15,1843
2020-02-16,1933
2020-02-17,1807
2020-02-18,1693
2020-02-19,349
2020-02-20,631
2020-02-21,366
2020-02-22,630
